Tidspunkt;Vannføring;Korrigert;Kontrollert
2012-01-01 11:00:00;6,022053;0;3
2012-01-02 11:00:00;3,544741;0;3
2012-01-03 11:00:00;3,49465;0;3
2012-01-04 11:00:00;5,537568;0;3
2012-01-05 11:00:00;4,902883;0;3
2012-01-06 11:00:00;6,872221;0;3
2012-01-07 11:00:00;7,083107;0;3
2012-01-08 11:00:00;5,693701;0;3
2012-01-09 11:00:00;4,236447;0;3
2012-01-10 11:00:00;3,641998;0;3
2012-01-11 11:00:00;3,05327;0;3
2012-01-12 11:00:00;2,039961;0;3
2012-01-13 11:00:00;1,676134;0;3
2012-01-14 11:00:00;1,469429;0;3
2012-01-15 11:00:00;1,372999;0;3
2012-01-16 11:00:00;1,240455;0;3
2012-01-17 11:00:00;1,070619;0;3
2012-01-18 11:00:00;1,079859;0;3
2012-01-19 11:00:00;1,011361;0;3
2012-01-20 11:00:00;0,8813999;0;3
2012-01-21 11:00:00;0,7839605;0;3
2012-01-22 11:00:00;0,8206799;0;3
2012-01-23 11:00:00;0,7665319;0;3
2012-01-24 11:00:00;0,7375007;0;3
2012-01-25 11:00:00;0,7185109;0;3
2012-01-26 11:00:00;0,7013158;0;3
2012-01-27 11:00:00;0,6866892;0;3
2012-01-28 11:00:00;0,6667879;0;3
2012-01-29 11:00:00;0,6464533;0;3
2012-01-30 11:00:00;0,6245916;0;3
2012-01-31 11:00:00;0,6011094;0;3
2012-02-01 11:00:00;0,5763765;0;3
2012-02-02 11:00:00;0,5515851;0;3
2012-02-03 11:00:00;0,5384724;0;3
2012-02-04 11:00:00;0,5532646;0;3
2012-02-05 11:00:00;0,5610764;0;3
2012-02-06 11:00:00;0,5400239;0;3
2012-02-07 11:00:00;0,4982069;0;3
2012-02-08 11:00:00;0,475306;0;3
2012-02-09 11:00:00;0,4536611;0;3
2012-02-10 11:00:00;0,4494286;0;3
2012-02-11 11:00:00;0,4204385;0;3
2012-02-12 11:00:00;0,4003043;0;3
2012-02-13 11:00:00;0,384114;0;3
2012-02-14 11:00:00;0,3827083;0;3
2012-02-15 11:00:00;0,3848594;0;3
2012-02-16 11:00:00;0,3719925;0;3
2012-02-17 11:00:00;0,3645861;0;3
2012-02-18 11:00:00;0,3977592;0;3
2012-02-19 11:00:00;0,6103647;0;3
2012-02-20 11:00:00;0,4717955;0;3
2012-02-21 11:00:00;0,4325795;0;3
2012-02-22 11:00:00;0,458568;0;3
2012-02-23 11:00:00;1,073861;0;3
2012-02-24 11:00:00;0,8175557;0;3
2012-02-25 11:00:00;0,8818282;0;3
2012-02-26 11:00:00;0,6938552;0;3
2012-02-27 11:00:00;0,5976769;0;3
2012-02-28 11:00:00;0,6628771;0;3
2012-02-29 11:00:00;0,9002003;0;3
2012-03-01 11:00:00;0,9115182;0;3
2012-03-02 11:00:00;1,420971;0;3
2012-03-03 11:00:00;1,203216;0;3
2012-03-04 11:00:00;1,083295;0;3
2012-03-05 11:00:00;0,9730015;0;3
2012-03-06 11:00:00;0,887542;0;3
2012-03-07 11:00:00;0,8349069;0;3
2012-03-08 11:00:00;0,8371097;0;3
2012-03-09 11:00:00;1,117574;0;3
2012-03-10 11:00:00;2,647426;0;3
2012-03-11 11:00:00;3,125493;0;3
2012-03-12 11:00:00;4,302893;0;3
2012-03-13 11:00:00;6,211985;0;3
2012-03-14 11:00:00;5,186353;0;3
2012-03-15 11:00:00;4,113372;0;3
2012-03-16 11:00:00;3,986163;0;3
2012-03-17 11:00:00;4,545833;0;3
2012-03-18 11:00:00;4,434549;0;3
2012-03-19 11:00:00;3,592437;0;3
2012-03-20 11:00:00;3,455506;0;3
2012-03-21 11:00:00;4,086425;0;3
2012-03-22 11:00:00;4,011493;0;3
2012-03-23 11:00:00;3,750906;0;3
2012-03-24 11:00:00;3,388631;0;3
2012-03-25 11:00:00;3,111806;0;3
2012-03-26 11:00:00;2,902455;0;3
2012-03-27 11:00:00;2,929902;0;3
2012-03-28 11:00:00;2,736811;0;3
