date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2012-1-1 0 0 23.9037 0 0 0 0
2012-1-2 88836.7 261.74 23.3099 0 0 0 0
2012-1-3 29768.7 363.365 23.3853 0 0 0 0
2012-1-4 16877 99.3129 23.4281 0 0 0 0
2012-1-5 7145.37 39.5367 23.4783 0 0 0 0
2012-1-6 0 30.374 23.5291 0 0 0 0
2012-1-7 0 25.3968 23.5801 0 0 0 0
2012-1-8 0.428772 42.7337 23.6306 0 0 0 0
2012-1-9 3.75061 67.1357 23.6814 0 0 0 0
2012-1-10 9.57489 90.6786 23.7323 0 0 0 0
2012-1-11 15.4419 135.179 23.7833 0 0 0 0
2012-1-12 4570.6 219.902 23.8341 0 0 0 0
2012-1-13 3037.7 362.434 23.8828 0 0 0 0
2012-1-14 2224.49 795.659 23.9335 0 0 0 0
2012-1-15 71.5706 701.238 23.9829 0 0 0 0
2012-1-16 98.0331 1148.26 24.0322 0 0 0 0
2012-1-17 127.078 1535.72 24.0813 0 0 0 0
2012-1-18 160.22 1955.13 24.1297 0 0 0 0
2012-1-19 199.714 2428.9 24.1777 0 0 0 0
2012-1-20 243.266 2944.58 24.2252 0 0 0 0
2012-1-21 288.658 3505.49 24.2724 0 0 0 0
2012-1-22 335.812 4127.55 24.3193 0 0 0 0
2012-1-23 385.762 4816.06 24.3664 0 0 0 0
2012-1-24 441.345 5570.1 24.4131 0 0 0 0
2012-1-25 502.025 6365.04 24.4597 0 0 0 0
2012-1-26 569.042 7205.32 24.5058 0 0 0 0
2012-1-27 637.661 8080.83 24.5519 0 0 0 0
2012-1-28 707.426 9002.09 24.5972 0 0 0 0
2012-1-29 779.128 9965.62 24.6423 0 0 0 0
2012-1-30 852.72 10962.6 24.6869 0 0 0 0
2012-1-31 927.926 12014 24.7311 0 0 0 0
2012-2-1 1004.82 13104.7 24.775 0 0 0 0
2012-2-2 1082.21 14224 24.8184 0 0 0 0
2012-2-3 1159.56 15371.6 24.8615 0 0 0 0
2012-2-4 1237.25 16546.3 24.9044 0 0 0 0
2012-2-5 1316.88 17758.8 24.947 0 0 0 0
2012-2-6 1398.82 18994.6 24.9892 0 0 0 0
2012-2-7 1481.36 20235.8 25.031 0 0 0 0
2012-2-8 1565.11 21499 25.0724 0 0 0 0
2012-2-9 1650.75 22795.5 25.1134 0 0 0 0
2012-2-10 1737.42 24125.9 25.1542 0 0 0 0
2012-2-11 1824.88 25498.3 25.1946 0 0 0 0
2012-2-12 1913.75 26903.1 25.2346 0 0 0 0
2012-2-13 2003.13 28341.6 25.2742 0 0 0 0
2012-2-14 2093.1 29793.4 25.3134 0 0 0 0
2012-2-15 2183.44 31276.4 25.3523 0 0 0 0
2012-2-16 2274.67 32800.8 25.3908 0 0 0 0
2012-2-17 2366.39 34375.8 25.429 0 0 0 0
2012-2-18 2458.67 35988.8 25.467 0 0 0 0
2012-2-19 9616.59 36710.9 25.5046 0 0 0 0
2012-2-20 2657.34 38522.6 25.5427 0 0 0 0
2012-2-21 4651.39 40521.4 25.5782 0 0 0 0
2012-2-22 4172.15 42463.9 25.6149 0 0 0 0
2012-2-23 15636.6 64953.7 25.6514 0 0 0 0
2012-2-24 16436 65834.1 25.6873 0 0 0 0
2012-2-25 24200.1 140916 25.7231 0 0 0 0
2012-2-26 5825.04 179159 25.7585 0 0 0 0
2012-2-27 3435.73 101571 25.7935 0 0 0 0
2012-2-28 7899.94 245556 25.8283 0 0 0 0
2012-3-1 9585.77 42883.4 25.8626 0 0 0 0
2012-3-2 12019.7 51364.8 25.8969 0 0 0 0
2012-3-3 22836.9 112436 25.9307 0 0 0 0
2012-3-4 6398.64 89998.2 25.9643 0 0 0 0
2012-3-5 4164.88 99039.9 25.9977 0 0 0 0
2012-3-6 6251.94 97304.7 26.0308 0 0 0 0
2012-3-7 4429.16 91648.3 26.0635 0 0 0 0
2012-3-8 6144.69 77705.9 26.0961 0 0 0 0
2012-3-9 5909.37 82340.2 26.1281 0 0 0 0
2012-3-10 5758.5 82661.8 26.1601 0 0 0 0
2012-3-11 18931.1 86801.8 26.1915 0 0 0 0
2012-3-12 17255.8 96018.5 26.2226 0 0 0 0
2012-3-13 35029 224127 26.2538 0 0 0 0
2012-3-14 56688.8 376268 26.2843 0 0 0 0
2012-3-15 54035.5 375000 26.315 0 0 0 0
2012-3-16 23058.3 141866 26.3453 0 0 0 0
2012-3-17 11632.2 63717.8 26.3755 0 0 0 0
2012-3-18 10545 75311.2 26.4049 0 0 0 0
2012-3-19 11154.2 79842.3 26.4342 0 0 0 0
2012-3-20 9240.95 82742.6 26.4635 0 0 0 0
2012-3-21 13120.4 124008 26.4924 0 0 0 0
2012-3-22 8460.05 74170.6 26.5212 0 0 0 0
2012-3-23 8125.44 86663.8 26.5497 0 0 0 0
2012-3-24 8064.03 91219.6 26.578 0 0 0 0
2012-3-25 7844.05 93694.9 26.6059 0 0 0 0
2012-3-26 7807.35 95597 26.6337 0 0 0 0
2012-3-27 7850.59 97404.4 26.6613 0 0 0 0
2012-3-28 7884.02 99145.9 26.6886 0 0 0 0
2012-3-29 7968.68 100955 26.7156 0 0 0 0
2012-3-30 8886.58 103353 26.7425 0 0 0 0
2012-3-31 8624.81 105599 26.769 0 0 0 0
2012-4-1 8401.79 107385 26.7954 0 0 0 0
2012-4-2 8525.29 109016 26.8215 0 0 0 0
2012-4-3 8621.96 240586 26.8474 0 0 0 0
2012-4-4 8735.55 267097 26.873 0 0 0 0
2012-4-5 8857.4 444481 26.8984 0 0 0 0
2012-4-6 9850.28 436755 26.9238 0 0 0 0
2012-4-7 9620.24 91498.7 26.9488 0 0 0 0
2012-4-8 9382.12 109880 26.9737 0 0 0 0
2012-4-9 9498.8 117245 26.9984 0 0 0 0
2012-4-10 10110.8 119976 27.0228 0 0 0 0
2012-4-11 10359.6 123111 27.0471 0 0 0 0
