index area z x y xindex yindex
1 107100 -32766.9 299380 6640880 295 2306
2 89100 202.1600037 299620 6644650 319 1929
3 13200 193.6799927 299160 6651350 273 1259
4 20700 189.4102173 299630 6645610 320 1833
5 5700 190.1100006 299660 6645190 323 1875
6 13300 -32766.82227 299740 6641360 331 2258
7 6700 198.2801819 300000 6645470 357 1847
8 553300 180.1699982 301190 6645480 476 1846
9 25000 148.9199982 302120 6648230 569 1571
10 40700 307.6000061 301930 6643750 550 2019
11 210700 311.4342346 301680 6642480 525 2146
12 50100 -32765.38281 301460 6655660 503 828
13 259200 -32766.06836 301200 6659250 477 469
14 6500 -32765.93945 301860 6662420 543 152
15 148500 -32765.51953 302060 6656360 563 758
16 19600 330.2399902 301690 6654030 526 991
17 86200 -32765.63281 302530 6656940 610 700
18 23600 282.3399963 302630 6655390 620 855
19 79600 -32765.80469 302550 6659990 612 395
20 11600 -32765.7793 302680 6660570 625 337
21 10400 259.6002197 301050 6653720 462 1022
22 28400 282.3300171 300120 6654380 369 956
23 8200 -32766.09375 297460 6659300 103 464
24 45700 -32763.42188 298810 6645620 238 1832
25 48800 214.9503479 298470 6644660 204 1928
26 6900 -32766.80078 297950 6641400 152 2254
27 19400 -32766.80273 297960 6640990 153 2295
28 6400 -32766.59766 298730 6642510 230 2143
29 8300 -32766.82227 298620 6641360 219 2258
30 34800 -32766.42383 298510 6643400 208 2054
31 16500 -32766.75977 297740 6640990 131 2295
32 14600 -32763.30078 297410 6645000 98 1894
33 48700 276.7601624 297510 6644490 108 1945
34 54500 -32763.38867 296960 6645450 53 1849
35 5500 -32763.72852 296990 6647190 56 1675
36 547200 -32766.68164 297340 6641800 91 2214
37 8700 307.2602844 309460 6660820 1303 312
38 7300 308.1500244 309500 6660750 1307 319
39 45700 -32766.16602 309700 6663300 1327 64
40 50600 301.0311279 309490 6656100 1306 784
41 39600 -32764.53906 309900 6653060 1347 1088
42 7600 -32764.13672 310720 6655120 1429 882
43 18200 355.9700623 310600 6657380 1417 656
44 8800 -32766.42188 310580 6661990 1415 195
45 11500 346.6800232 310920 6660520 1449 342
46 6200 -32764.06055 310960 6655510 1453 843
47 6900 -32764.26172 310820 6654480 1439 946
48 23400 -32764.23828 310980 6654600 1455 934
49 8000 -32766.02148 310860 6645470 1443 1847
50 99700 -32765.34766 310380 6648920 1395 1502
51 6100 -32766.24414 310260 6644330 1383 1961
52 25600 -32766.77148 310590 6640880 1416 2306
53 10000 -32766.72266 310340 6641100 1391 2284
54 10200 -32766.71289 310290 6640550 1386 2339
