date value parameter land_use
2012-1-1 0 infil2 loc1
2012-1-1 0 infil loc1
2012-1-1 0 toDistribute loc1
2012-1-1 0 dailySurplus loc1
2012-1-1 9.99999 availablePoreDepth loc1
2012-1-1 111.111 EHD loc1
2012-1-1 2141.04 SD loc1
2012-1-1 -2.25215 G loc1
2012-1-1 0.36 theta_EHD loc1
2012-1-1 40 sw_EHD loc1
2012-1-1 0.275929 theta_soil loc1
2012-1-1 0 dsc loc1
2012-1-1 0 infil2 loc2
2012-1-1 0 infil loc2
2012-1-1 0 toDistribute loc2
2012-1-1 0 dailySurplus loc2
2012-1-1 25 availablePoreDepth loc2
2012-1-1 250 EHD loc2
2012-1-1 3572.37 SD loc2
2012-1-1 -3.82237 G loc2
2012-1-1 0.4 theta_EHD loc2
2012-1-1 100 sw_EHD loc2
2012-1-1 0.344015 theta_soil loc2
2012-1-1 0 dsc loc2
2012-1-1 0 infil2 loc3
2012-1-1 0 infil loc3
2012-1-1 0 toDistribute loc3
2012-1-1 0 dailySurplus loc3
2012-1-1 90 availablePoreDepth loc3
2012-1-1 500 EHD loc3
2012-1-1 3582.55 SD loc3
2012-1-1 -4.08255 G loc3
2012-1-1 0.72 theta_EHD loc3
2012-1-1 360 sw_EHD loc3
2012-1-1 0.619513 theta_soil loc3
2012-1-1 0 dsc loc3
2012-1-2 0 infil2 loc1
2012-1-2 0 infil loc1
2012-1-2 0 toDistribute loc1
2012-1-2 0.344412 dailySurplus loc1
2012-1-2 9.99999 availablePoreDepth loc1
2012-1-2 111.111 EHD loc1
2012-1-2 2140.63 SD loc1
2012-1-2 -2.25174 G loc1
2012-1-2 0.36 theta_EHD loc1
2012-1-2 40 sw_EHD loc1
2012-1-2 0.275982 theta_soil loc1
2012-1-2 0.344412 dsc loc1
2012-1-2 0 infil2 loc2
2012-1-2 0 infil loc2
2012-1-2 0 toDistribute loc2
2012-1-2 0 dailySurplus loc2
2012-1-2 27.75 availablePoreDepth loc2
2012-1-2 250 EHD loc2
2012-1-2 3570.6 SD loc2
2012-1-2 -3.8206 G loc2
2012-1-2 0.389 theta_EHD loc2
2012-1-2 97.25 sw_EHD loc2
2012-1-2 0.344185 theta_soil loc2
2012-1-2 0 dsc loc2
2012-1-2 135 infil2 loc3
2012-1-2 742.316 Qd loc3
2012-1-2 0 infil loc3
2012-1-2 0 toDistribute loc3
2012-1-2 0.344412 dailySurplus loc3
2012-1-2 90 availablePoreDepth loc3
2012-1-2 500 EHD loc3
2012-1-2 3582.49 SD loc3
2012-1-2 -3.34018 G loc3
2012-1-2 0.45 theta_EHD loc3
2012-1-2 225 sw_EHD loc3
2012-1-2 0.45 theta_soil loc3
2012-1-2 0.344412 dsc loc3
2012-1-3 0 infil2 loc1
2012-1-3 0 infil loc1
2012-1-3 0 toDistribute loc1
2012-1-3 0.18203 dailySurplus loc1
2012-1-3 9.99999 availablePoreDepth loc1
2012-1-3 111.111 EHD loc1
2012-1-3 2140.81 SD loc1
2012-1-3 -2.25192 G loc1
2012-1-3 0.36 theta_EHD loc1
2012-1-3 40 sw_EHD loc1
2012-1-3 0.275958 theta_soil loc1
2012-1-3 0.526443 dsc loc1
2012-1-3 0 infil2 loc2
2012-1-3 0 infil loc2
2012-1-3 0 toDistribute loc2
2012-1-3 0 dailySurplus loc2
2012-1-3 30.4825 availablePoreDepth loc2
2012-1-3 250 EHD loc2
2012-1-3 3571.11 SD loc2
2012-1-3 -3.82111 G loc2
2012-1-3 0.37807 theta_EHD loc2
2012-1-3 94.5175 sw_EHD loc2
2012-1-3 0.344137 theta_soil loc2
2012-1-3 0 dsc loc2
2012-1-3 0 infil2 loc3
2012-1-3 0 infil loc3
2012-1-3 0 toDistribute loc3
2012-1-3 0.18203 dailySurplus loc3
2012-1-3 225 availablePoreDepth loc3
2012-1-3 500 EHD loc3
2012-1-3 3582.6 SD loc3
2012-1-3 -4.0826 G loc3
2012-1-3 0.45 theta_EHD loc3
2012-1-3 225 sw_EHD loc3
2012-1-3 0.449987 theta_soil loc3
2012-1-3 0.18203 dsc loc3
2012-1-4 0 infil2 loc1
2012-1-4 2.11165 infil loc1
2012-1-4 0 toDistribute loc1
2012-1-4 1.5852 dailySurplus loc1
2012-1-4 9.99999 availablePoreDepth loc1
2012-1-4 111.111 EHD loc1
2012-1-4 2140.77 SD loc1
2012-1-4 -2.25188 G loc1
2012-1-4 0.379005 theta_EHD loc1
2012-1-4 42.1116 sw_EHD loc1
2012-1-4 0.275964 theta_soil loc1
2012-1-4 0 dsc loc1
2012-1-4 0 infil2 loc2
2012-1-4 0 infil loc2
2012-1-4 0 toDistribute loc2
2012-1-4 0 dailySurplus loc2
2012-1-4 33.3276 availablePoreDepth loc2
2012-1-4 250 EHD loc2
2012-1-4 3570.97 SD loc2
2012-1-4 -3.82097 G loc2
2012-1-4 0.36669 theta_EHD loc2
2012-1-4 91.6724 sw_EHD loc2
2012-1-4 0.34415 theta_soil loc2
2012-1-4 0 dsc loc2
2012-1-4 1.5852 infil2 loc3
2012-1-4 1.60575 Qd loc3
2012-1-4 1.5852 infil loc3
2012-1-4 0 toDistribute loc3
2012-1-4 1.5852 dailySurplus loc3
2012-1-4 225 availablePoreDepth loc3
2012-1-4 500 EHD loc3
2012-1-4 3582.44 SD loc3
2012-1-4 -4.08084 G loc3
2012-1-4 0.45 theta_EHD loc3
2012-1-4 225 sw_EHD loc3
2012-1-4 0.45 theta_soil loc3
2012-1-4 0 dsc loc3
2012-1-5 0 infil2 loc1
2012-1-5 0 infil loc1
2012-1-5 0 toDistribute loc1
2012-1-5 0 dailySurplus loc1
2012-1-5 7.88835 availablePoreDepth loc1
2012-1-5 111.111 EHD loc1
2012-1-5 2140.72 SD loc1
2012-1-5 -2.25183 G loc1
2012-1-5 0.379005 theta_EHD loc1
2012-1-5 42.1116 sw_EHD loc1
2012-1-5 0.27597 theta_soil loc1
