date Q_m3d source
2012-1-1 0 drain
2012-1-1 0 overland
2012-1-1 23.9037 stream
2012-1-1 0 lake
2012-1-2 88836.7 drain
2012-1-2 261.74 overland
2012-1-2 23.3099 stream
2012-1-2 0 lake
2012-1-3 29768.7 drain
2012-1-3 363.365 overland
2012-1-3 23.3853 stream
2012-1-3 0 lake
2012-1-4 16877 drain
2012-1-4 99.3129 overland
2012-1-4 23.4281 stream
2012-1-4 0 lake
2012-1-5 7145.37 drain
2012-1-5 39.5367 overland
2012-1-5 23.4783 stream
2012-1-5 0 lake
2012-1-6 0 drain
2012-1-6 30.374 overland
2012-1-6 23.5291 stream
2012-1-6 0 lake
2012-1-7 0 drain
2012-1-7 25.3968 overland
2012-1-7 23.5801 stream
2012-1-7 0 lake
2012-1-8 0.428772 drain
2012-1-8 42.7337 overland
2012-1-8 23.6306 stream
2012-1-8 0 lake
2012-1-9 3.75061 drain
2012-1-9 67.1357 overland
2012-1-9 23.6814 stream
2012-1-9 0 lake
2012-1-10 9.57489 drain
2012-1-10 90.6786 overland
2012-1-10 23.7323 stream
2012-1-10 0 lake
2012-1-11 15.4419 drain
2012-1-11 135.179 overland
2012-1-11 23.7833 stream
2012-1-11 0 lake
2012-1-12 4570.6 drain
2012-1-12 219.902 overland
2012-1-12 23.8341 stream
2012-1-12 0 lake
2012-1-13 3037.7 drain
2012-1-13 362.434 overland
2012-1-13 23.8828 stream
2012-1-13 0 lake
2012-1-14 2224.49 drain
2012-1-14 795.659 overland
2012-1-14 23.9335 stream
2012-1-14 0 lake
2012-1-15 71.5706 drain
2012-1-15 701.238 overland
2012-1-15 23.9829 stream
2012-1-15 0 lake
2012-1-16 98.0331 drain
2012-1-16 1148.26 overland
2012-1-16 24.0322 stream
2012-1-16 0 lake
2012-1-17 127.078 drain
2012-1-17 1535.72 overland
2012-1-17 24.0813 stream
2012-1-17 0 lake
2012-1-18 160.22 drain
2012-1-18 1955.13 overland
2012-1-18 24.1297 stream
2012-1-18 0 lake
2012-1-19 199.714 drain
2012-1-19 2428.9 overland
2012-1-19 24.1777 stream
2012-1-19 0 lake
2012-1-20 243.266 drain
2012-1-20 2944.58 overland
2012-1-20 24.2252 stream
2012-1-20 0 lake
2012-1-21 288.658 drain
2012-1-21 3505.49 overland
2012-1-21 24.2724 stream
2012-1-21 0 lake
2012-1-22 335.812 drain
2012-1-22 4127.55 overland
2012-1-22 24.3193 stream
2012-1-22 0 lake
2012-1-23 385.762 drain
2012-1-23 4816.06 overland
2012-1-23 24.3664 stream
2012-1-23 0 lake
2012-1-24 441.345 drain
2012-1-24 5570.1 overland
2012-1-24 24.4131 stream
2012-1-24 0 lake
2012-1-25 502.025 drain
2012-1-25 6365.04 overland
2012-1-25 24.4597 stream
2012-1-25 0 lake
2012-1-26 569.042 drain
2012-1-26 7205.32 overland
2012-1-26 24.5058 stream
2012-1-26 0 lake
2012-1-27 637.661 drain
2012-1-27 8080.83 overland
2012-1-27 24.5519 stream
2012-1-27 0 lake
2012-1-28 707.426 drain
2012-1-28 9002.09 overland
2012-1-28 24.5972 stream
2012-1-28 0 lake
2012-1-29 779.128 drain
2012-1-29 9965.62 overland
2012-1-29 24.6423 stream
2012-1-29 0 lake
2012-1-30 852.72 drain
2012-1-30 10962.6 overland
2012-1-30 24.6869 stream
2012-1-30 0 lake
2012-1-31 927.926 drain
2012-1-31 12014 overland
