date rr tm swe accumulation melt
2012-1-1 0 -5.52 0 3.35 0
2012-1-2 0 0.41 3.35 13.51 0.344412
2012-1-3 0 0.26 16.5156 0.69 0.18203
2012-1-4 0 1.22 17.0236 16.64 1.5852
2012-1-5 0 -1.12 32.0784 0 0
2012-1-6 0 -6.66 32.0784 0 0
2012-1-7 0 -6.08 32.0784 0.14 0
2012-1-8 0 -4.14 32.2184 2.63 0
2012-1-9 0 -10.27 34.8484 0.01 0
2012-1-10 0 -8.88 34.8584 9.17 0
2012-1-11 0 -3.07 44.0284 0.52 0
2012-1-12 0 -0.41 44.5484 0 0
2012-1-13 0 -0.75 44.5484 0 0
2012-1-14 0 0.12 44.5484 0.37 0.0616645
2012-1-15 0 -3.79 44.8567 0 0
2012-1-16 0 -4.91 44.8567 0 0
2012-1-17 0 -7.88 44.8567 0.16 0
2012-1-18 0 -7.88 45.0167 0.17 0
2012-1-19 0 -4.59 45.1867 7.09 0
2012-1-20 0 -8.02 52.2767 0 0
2012-1-21 0 -13.7 52.2767 0.57 0
2012-1-22 0 -4.8 52.8467 4.24 0
2012-1-23 0 -5.38 57.0867 0 0
2012-1-24 0 -10.12 57.0867 0.28 0
2012-1-25 0 -6.74 57.3667 0 0
2012-1-26 0 -6.98 57.3667 0 0
2012-1-27 0 -2.98 57.3667 0 0
2012-1-28 0 -2.79 57.3667 1.46 0
2012-1-29 0 -4.87 58.8267 0.01 0
2012-1-30 0 -4.62 58.8367 0 0
2012-1-31 0 -6.56 58.8367 0 0
2012-2-1 0 -8.42 58.8367 0.01 0
2012-2-2 0 -10.02 58.8467 0.15 0
2012-2-3 0 -14.57 58.9967 0.3 0
2012-2-4 0 -19.11 59.2967 0 0
2012-2-5 0 -16.52 59.2967 1.07 0
2012-2-6 0 -6.34 60.3667 1.04 0
2012-2-7 0 -4.7 61.4067 1.1 0
2012-2-8 0 -5 62.5067 0 0
2012-2-9 0 -6.1 62.5067 0 0
2012-2-10 0 -11.6 62.5067 0 0
2012-2-11 0 -7.78 62.5067 0 0
2012-2-12 0 -9.8 62.5067 0 0
2012-2-13 0 -10.71 62.5067 0.04 0
2012-2-14 0 -7.76 62.5467 0.5 0
2012-2-15 0 -4.28 63.0467 1.54 0
2012-2-16 0 -3.07 64.5867 0.26 0
2012-2-17 0 -2.58 64.8467 0.72 0
2012-2-18 0 -4.26 65.5667 1.07 0
2012-2-19 0 1.31 66.6367 10.95 1.7513
2012-2-20 0 -3.79 75.8354 0.79 0
2012-2-21 0 -0.19 76.6254 0.68 0
2012-2-22 0 -0.51 77.3054 2.21 0
2012-2-23 0.12 2.64 79.5154 0 4.67118
2012-2-24 0.17 2.66 74.8442 0 4.7208
2012-2-25 0 3.85 70.1234 0 7.92184
2012-2-26 0 -0.3 62.2015 0.09 0
2012-2-27 0 -2.71 62.2915 0.02 0
2012-2-28 0 0.87 62.3115 3.48 0.987434
2012-3-1 0 1.219 64.8041 0 1.58338
2012-3-2 0.09 1.68 63.2207 0 2.48093
2012-3-3 0.14 3.49 60.7398 0 6.90457
2012-3-4 0 -0.5 53.8352 0.05 0
2012-3-5 0 -2.39 53.8852 0.14 0
2012-3-6 0 -1.86 54.0252 0 0
2012-3-7 0 -2.52 54.0252 0.01 0
2012-3-8 0 -1 54.0352 0.01 0
2012-3-9 0 -1.15 54.0452 9.13 0
2012-3-10 0 -0.14 63.1752 0.9 0
2012-3-11 0.03 2.91 64.0752 0 5.35342
2012-3-12 0.05 2.48 58.7218 0 4.2797
2012-3-13 0 5.03 54.4421 0 11.518
2012-3-14 0.01 7.49 42.9241 0 20.112
2012-3-15 0.02 7 22.8121 0 18.2944
2012-3-16 0.03 3.45 4.51768 0 4.51768
2012-3-17 0 3.14 0 0 0
2012-3-18 0 3.95 0 0 0
2012-3-19 0.58 3.18 0 0 0
2012-3-20 0.09 2.59 0 0 0
2012-3-21 1.77 2.71 0 0 0
2012-3-22 0 7.05 0 0 0
2012-3-23 0 6.83 0 0 0
2012-3-24 0.05 6.21 0 0 0
2012-3-25 0 5.42 0 0 0
2012-3-26 0 6.14 0 0 0
2012-3-27 0.01 5.94 0 0 0
2012-3-28 0 8.3 0 0 0
2012-3-29 0 10.14 0 0 0
2012-3-30 0.31 5.52 0 0 0
2012-3-31 0.14 4.46 0 0 0
2012-4-1 0 4 0 0 0
2012-4-2 0 1.12 0 0 0
2012-4-3 0 0.68 0 0.03 0
2012-4-4 0 -1 0.03 0.18 0
2012-4-5 0 -1.44 0.21 0.17 0
2012-4-6 0 0.44 0.38 0 0.38
2012-4-7 0.13 2.85 0 0 0
2012-4-8 0 -0.12 0 0.12 0
2012-4-9 0 -1.47 0.12 0.05 0
2012-4-10 0 1.25 0.17 0.19 0.17
2012-4-11 0 1.38 0.19 14.62 0.19
2012-4-12 7.18 4.63 14.62 0 10.2564
2012-4-13 3.54 4.24 4.36361 0 4.36361
2012-4-14 0.15 3.36 0 0 0
2012-4-15 0 3.88 0 0 0
2012-4-16 0.34 3.81 0 0 0
2012-4-17 2.22 2.25 0 0 0
2012-4-18 0 1.45 0 2.21 0
2012-4-19 0 0.85 2.21 0.44 0.955802
2012-4-20 2.56 3.04 1.6942 0 1.6942
2012-4-21 0.01 6.89 0 0 0
2012-4-22 7.74 3.05 0 0 0
2012-4-23 0.9 2.92 0 0 0
2012-4-24 7.13 5.23 0 0 0
2012-4-25 1.4 4.34 0 0 0
2012-4-26 0.22 5.28 0 0 0
2012-4-27 0.01 9.11 0 0 0
2012-4-28 12.64 7.29 0 0 0
2012-4-29 1.98 6.65 0 0 0
2012-4-30 0 6.43 0 0 0
2012-5-1 0 7.76 0 0 0
2012-5-2 0.86 4.89 0 0 0
2012-5-3 0.02 9.49 0 0 0
2012-5-4 0 12.62 0 0 0
2012-5-5 2.04 9.47 0 0 0
2012-5-6 5.63 4.2 0 0 0
2012-5-7 2.42 2.8 0 0 0
2012-5-8 0 3.97 0 0 0
2012-5-9 0 6.41 0 0 0
2012-5-10 8.21 8.64 0 0 0
2012-5-11 2.16 10.17 0 0 0
2012-5-12 12.21 7.9 0 0 0
2012-5-13 13.96 7.41 0 0 0
2012-5-14 0.13 6.18 0 0 0
2012-5-15 4.09 8.07 0 0 0
2012-5-16 0.67 7.87 0 0 0
2012-5-17 0.19 9.17 0 0 0
2012-5-18 3.85 9.81 0 0 0
2012-5-19 0.95 8.18 0 0 0
2012-5-20 0 9.16 0 0 0
2012-5-21 6.84 10.21 0 0 0
2012-5-22 0.1 12.33 0 0 0
2012-5-23 0 15.6 0 0 0
2012-5-24 0 17.54 0 0 0
2012-5-25 0.01 18.8 0 0 0
2012-5-26 0 19.49 0 0 0
2012-5-27 0 22.11 0 0 0
2012-5-28 0 17.76 0 0 0
2012-5-29 0 18.45 0 0 0
2012-5-30 0.01 11.27 0 0 0
2012-5-31 0 9.3 0 0 0
2012-6-1 0 11.14 0 0 0
2012-6-2 0.45 9.77 0 0 0
2012-6-3 0.05 7.77 0 0 0
2012-6-4 1.61 8.39 0 0 0
2012-6-5 2.83 7.72 0 0 0
2012-6-6 1.12 9.03 0 0 0
2012-6-7 7.98 9.57 0 0 0
2012-6-8 0.16 10.78 0 0 0
2012-6-9 0.32 11.79 0 0 0
2012-6-10 0.38 14.41 0 0 0
2012-6-11 17.6 11.92 0 0 0
2012-6-12 0.13 12.95 0 0 0
2012-6-13 0.26 13.87 0 0 0
2012-6-14 1.51 12.31 0 0 0
2012-6-15 0.39 11.04 0 0 0
2012-6-16 2.12 11.15 0 0 0
2012-6-17 2.81 10.88 0 0 0
2012-6-18 9.57 12.33 0 0 0
2012-6-19 0.26 13.64 0 0 0
2012-6-20 2.59 12.01 0 0 0
2012-6-21 0.28 13.13 0 0 0
2012-6-22 0.12 13.79 0 0 0
2012-6-23 0 16.39 0 0 0
2012-6-24 0.36 16.53 0 0 0
2012-6-25 2.67 12.5 0 0 0
2012-6-26 22.63 12.26 0 0 0
2012-6-27 4.15 13.33 0 0 0
2012-6-28 0 15.16 0 0 0
2012-6-29 0.01 13.36 0 0 0
2012-6-30 0.18 13.32 0 0 0
2012-7-1 18.88 13.57 0 0 0
2012-7-2 0.02 14.81 0 0 0
2012-7-3 13.23 12.99 0 0 0
2012-7-4 0.94 14.27 0 0 0
2012-7-5 0 15.88 0 0 0
2012-7-6 0.31 16.58 0 0 0
2012-7-7 0 18.36 0 0 0
2012-7-8 12.38 18.33 0 0 0
2012-7-9 0.36 16.58 0 0 0
2012-7-10 0.03 16.89 0 0 0
2012-7-11 3 15.35 0 0 0
2012-7-12 4.65 15.24 0 0 0
