date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2012-1-1 0 0 1.21795 0 0 0 0
2012-1-2 31033.6 7302.11 0.960747 0 0 0 0
2012-1-3 17181.8 90684.8 0.962219 0 0 0 0
2012-1-4 25018.4 33182.3 1.02105 0 0 0 0
2012-1-5 12292.7 45209.2 1.03667 0 0 0 0
2012-1-6 7762.43 44346.2 1.0662 0 0 0 0
2012-1-7 11055 45140.6 1.13479 0 0 0 0
2012-1-8 7549.53 44562.4 1.17347 0 0 0 0
2012-1-9 7442.15 44017 1.22445 0 0 0 0
2012-1-10 7340.32 43460.7 1.29785 0 0 0 0
2012-1-11 10959.7 42908.4 1.34025 0 0 0 0
2012-1-12 10907.3 12.9183 1.38626 0 0 0 0
2012-1-13 11099.5 25985.7 1.43908 0 0 0 0
2012-1-14 11080.1 15803.6 1.48674 0 0 0 0
2012-1-15 9321.9 116622 1.55633 0 0 0 0
2012-1-16 6834.14 39706 1.6378 0 0 0 0
2012-1-17 6774.5 39862.3 1.67846 0 0 0 0
2012-1-18 6716.72 39478.5 1.70792 0 0 0 0
2012-1-19 6660.58 39074.3 1.76326 0 0 0 0
2012-1-20 6602.55 38666.4 1.79897 0 0 0 0
2012-1-21 6544.17 38249.2 1.87051 0 0 0 0
2012-1-22 6484.32 37848.8 1.89808 0 0 0 0
2012-1-23 6425.5 37475.6 1.91685 0 0 0 0
2012-1-24 6367.71 37132.4 1.9434 0 0 0 0
2012-1-25 6314.52 36794.9 1.96419 0 0 0 0
2012-1-26 6265.45 36466.3 1.97564 0 0 0 0
2012-1-27 6218.13 36151.7 1.98768 0 0 0 0
2012-1-28 18118.1 35841.4 2.0017 0 0 0 0
2012-1-29 6126.35 35534 2.06094 0 0 0 0
2012-1-30 6081.01 35243.1 2.01603 0 0 0 0
2012-1-31 6035.27 34963.9 2.04223 0 0 0 0
2012-2-1 5989.84 34686.1 2.01383 0 0 0 0
2012-2-2 5944.68 34407.8 2.0499 0 0 0 0
2012-2-3 5900.94 34132 2.0913 0 0 0 0
2012-2-4 5859.99 33855.4 2.06375 0 0 0 0
2012-2-5 5820.06 33583.7 2.14908 0 0 0 0
2012-2-6 5780.14 33322.8 2.24941 0 0 0 0
2012-2-7 5740.97 33062.9 2.12393 0 0 0 0
2012-2-8 5701.63 32807.1 2.27481 0 0 0 0
2012-2-9 5661.9 32553.3 2.16803 0 0 0 0
2012-2-10 5622.52 32299.5 2.24968 0 0 0 0
2012-2-11 5582.85 32046.7 2.16307 0 0 0 0
2012-2-12 5542.54 31796.3 2.32783 0 0 0 0
2012-2-13 5502.67 31550.9 2.17517 0 0 0 0
2012-2-14 5465.17 31307.7 2.2482 0 0 0 0
2012-2-15 5438.29 31067.1 2.33133 0 0 0 0
2012-2-16 36456.8 56978.5 2.2033 0 0 0 0
2012-2-17 16440.7 4943.9 2.50711 0 0 0 0
2012-2-18 13632.7 30371.6 2.2553 0 0 0 0
2012-2-19 14233.8 4763.33 2.26686 0 0 0 0
2012-2-20 11095.9 26275.4 2.4449 0 0 0 0
2012-2-21 10417.2 56542 2.28609 0 0 0 0
2012-2-22 11403.1 704.919 2.44942 0 0 0 0
2012-2-23 14529.5 31698.7 2.29393 0 0 0 0
2012-2-24 15506.2 16717.4 2.26579 0 0 0 0
2012-2-25 12707.7 45404.3 2.32861 0 0 0 0
2012-2-26 10429.2 6781.05 2.4563 0 0 0 0
2012-2-27 10049.1 61936.6 2.34137 0 0 0 0
2012-2-28 9710.26 11514.8 2.48834 0 0 0 0
2012-3-1 10960.5 23855.6 2.30329 0 0 0 0
2012-3-2 9451.56 4413.67 2.36826 0 0 0 0
2012-3-3 9213.24 605.972 2.38977 0 0 0 0
2012-3-4 9043.66 3524.66 2.34949 0 0 0 0
2012-3-5 8807.24 121427 2.39073 0 0 0 0
2012-3-6 8698.51 27808.7 2.4427 0 0 0 0
2012-3-7 8586.87 27349.3 2.523 0 0 0 0
2012-3-8 8497.98 27241.5 2.37938 0 0 0 0
2012-3-9 8385.09 27144.7 2.4997 0 0 0 0
2012-3-10 8572.58 27159.6 2.38035 0 0 0 0
2012-3-11 12556.3 26766 2.45484 0 0 0 0
2012-3-12 13953.1 4982.44 2.40774 0 0 0 0
2012-3-13 11154.5 2127.67 2.4822 0 0 0 0
2012-3-14 10036.2 24086.8 2.4943 0 0 0 0
2012-3-15 9722.51 14788.4 2.4412 0 0 0 0
2012-3-16 9449.35 9798.02 2.54055 0 0 0 0
2012-3-17 9196.36 11751.7 2.48031 0 0 0 0
2012-3-18 8997.84 18607.8 2.56819 0 0 0 0
2012-3-19 8835.66 28017.5 2.5089 0 0 0 0
2012-3-20 8960.54 30349.3 2.53217 0 0 0 0
2012-3-21 8659.66 27180.2 2.48121 0 0 0 0
2012-3-22 8565.48 21764.7 2.52486 0 0 0 0
2012-3-23 8513.52 21299.5 2.56648 0 0 0 0
2012-3-24 8494.51 25661.4 2.51334 0 0 0 0
2012-3-25 8412.82 20227.6 2.71629 0 0 0 0
2012-3-26 8410.14 21034.9 2.54095 0 0 0 0
2012-3-27 8394.36 22363.5 2.736 0 0 0 0
2012-3-28 8364.72 20987.8 2.50933 0 0 0 0
2012-3-29 8372.55 21435.4 2.68948 0 0 0 0
2012-3-30 8339.89 20581.6 2.57122 0 0 0 0
2012-3-31 8320.82 21155.9 2.65444 0 0 0 0
2012-4-1 8317.82 21653.3 2.6134 0 0 0 0
2012-4-2 8362.14 19618.1 2.61135 0 0 0 0
2012-4-3 8301.42 20218 2.66788 0 0 0 0
2012-4-4 8283.02 66793.3 2.69165 0 0 0 0
2012-4-5 8237.05 38287.6 2.731 0 0 0 0
2012-4-6 8237.2 876.535 2.61716 0 0 0 0
2012-4-7 8206.74 890.505 2.69969 0 0 0 0
2012-4-8 8188.47 899.246 2.70557 0 0 0 0
2012-4-9 8252.67 23771.6 2.63784 0 0 0 0
2012-4-10 8349.28 923.554 2.76005 0 0 0 0
2012-4-11 21532.8 112294 2.70256 0 0 0 0
2012-4-12 18565.9 35380.7 2.82776 0 0 0 0
2012-4-13 11659.5 23744.6 2.72826 0 0 0 0
2012-4-14 10812.8 2487.8 2.84666 0 0 0 0
2012-4-15 10276.2 14358.4 2.65558 0 0 0 0
2012-4-16 10591.4 6660.36 2.81754 0 0 0 0
2012-4-17 11460.7 22774.9 2.7584 0 0 0 0
2012-4-18 10616.9 28164.5 2.7103 0 0 0 0
2012-4-19 9770.26 19308.9 2.7513 0 0 0 0
2012-4-20 12880 27749.2 2.79176 0 0 0 0
2012-4-21 10909.4 14979.4 2.9012 0 0 0 0
2012-4-22 10453.2 18141.3 2.82928 0 0 0 0
2012-4-23 12031.3 27157.1 2.91692 0 0 0 0
2012-4-24 17164.7 35049.7 2.73169 0 0 0 0
2012-4-25 11527.2 14972.9 2.90349 0 0 0 0
2012-4-26 11997.2 22502 2.93246 0 0 0 0
2012-4-27 16214.5 24195.6 2.85582 0 0 0 0
2012-4-28 19414.9 52051 2.92818 0 0 0 0
2012-4-29 12138.9 18352.5 2.86426 0 0 0 0
2012-4-30 11361.2 4213.5 2.97142 0 0 0 0
2012-5-1 10656.8 17129.4 2.94279 0 0 0 0
2012-5-2 10090.6 5188.8 3.04682 0 0 0 0
2012-5-3 9543.43 23569 2.91234 0 0 0 0
2012-5-4 9164.54 26705 3.03909 0 0 0 0
2012-5-5 9742.88 24811.7 2.99106 0 0 0 0
2012-5-6 13714.3 24128.5 2.90612 0 0 0 0
2012-5-7 10936.9 18659.6 3.06694 0 0 0 0
2012-5-8 10135.5 19016.2 3.04617 0 0 0 0
2012-5-9 9836.51 18845.8 3.11208 0 0 0 0
2012-5-10 21875.2 47727.9 3.03776 0 0 0 0
2012-5-11 15475.4 38584.5 3.16759 0 0 0 0
2012-5-12 16525.7 24707.6 3.03179 0 0 0 0
2012-5-13 13149.1 16745.1 3.03522 0 0 0 0
2012-5-14 11713.7 7750.32 3.04631 0 0 0 0
2012-5-15 10999 19077.7 3.02522 0 0 0 0
2012-5-16 10294.5 20168.7 3.10103 0 0 0 0
2012-5-17 11198.2 22153.4 3.07819 0 0 0 0
2012-5-18 12489.6 21816.8 3.17157 0 0 0 0
2012-5-19 10597.2 20316.3 3.07761 0 0 0 0
2012-5-20 9957.37 19969.9 3.16828 0 0 0 0
2012-5-21 15463.6 27643.3 3.15647 0 0 0 0
2012-5-22 10835.6 17880.7 3.07681 0 0 0 0
2012-5-23 10457.5 20296.2 3.17814 0 0 0 0
2012-5-24 9932.7 19088.1 3.18735 0 0 0 0
2012-5-25 9495.48 12581.8 3.11194 0 0 0 0
2012-5-26 9063.96 31094.7 3.33888 0 0 0 0
2012-5-27 8826.79 20913 3.10909 0 0 0 0
2012-5-28 8540.22 23080.4 3.19956 0 0 0 0
2012-5-29 8330.04 18449.5 3.19986 0 0 0 0
2012-5-30 8134.63 20163.9 3.18881 0 0 0 0
2012-5-31 8045.65 19281.2 3.2628 0 0 0 0
2012-6-1 7942.3 26773.2 3.21004 0 0 0 0
2012-6-2 11463.3 25102.9 3.33621 0 0 0 0
2012-6-3 9002.84 20046.3 3.16969 0 0 0 0
2012-6-4 8944.17 23777.5 3.24353 0 0 0 0
2012-6-5 9910.86 18789.9 3.35999 0 0 0 0
2012-6-6 8934.32 23619.2 3.21961 0 0 0 0
2012-6-7 9013.65 25351 3.3647 0 0 0 0
2012-6-8 8633.62 20586.6 3.23935 0 0 0 0
2012-6-9 8400.48 22086 3.32648 0 0 0 0
2012-6-10 8955.86 24610.6 3.33114 0 0 0 0
2012-6-11 8309.78 22935.6 3.30656 0 0 0 0
2012-6-12 9095.8 28810.9 3.4339 0 0 0 0
2012-6-13 8342.69 22574.7 3.35257 0 0 0 0
2012-6-14 8254.83 26547.6 3.35221 0 0 0 0
2012-6-15 8070.81 20035 3.43841 0 0 0 0
2012-6-16 8482.17 28396.7 3.47836 0 0 0 0
2012-6-17 15956.4 36356.4 3.33462 0 0 0 0
2012-6-18 23655.4 83026.2 3.41793 0 0 0 0
2012-6-19 11816 19201.7 3.35453 0 0 0 0
2012-6-20 12448.2 15803.9 3.44058 0 0 0 0
2012-6-21 10874.8 22187.2 3.45584 0 0 0 0
2012-6-22 10167.2 22614 3.45079 0 0 0 0
2012-6-23 9567.34 34492.1 3.54886 0 0 0 0
2012-6-24 11492 27395.4 3.48224 0 0 0 0
2012-6-25 15452.7 42809.9 3.55926 0 0 0 0
2012-6-26 14566.3 36098.9 3.4497 0 0 0 0
2012-6-27 13499.2 20497.5 3.49631 0 0 0 0
2012-6-28 11766.4 22138.2 3.55983 0 0 0 0
2012-6-29 10863.3 26169.6 3.49773 0 0 0 0
2012-6-30 10299.9 30701.5 3.59134 0 0 0 0
2012-7-1 29268.4 109557 3.53051 0 0 0 0
2012-7-2 12233.1 24079.4 3.53433 0 0 0 0
2012-7-3 18216.4 41068.2 3.60153 0 0 0 0
2012-7-4 12717.1 14994.4 3.53076 0 0 0 0
2012-7-5 11540.5 31289.4 3.55911 0 0 0 0
2012-7-6 10665.5 32072.2 3.60515 0 0 0 0
2012-7-7 9890.01 27810 3.62647 0 0 0 0
2012-7-8 15493.4 47885 3.69771 0 0 0 0
2012-7-9 13680.2 31195.2 3.63949 0 0 0 0
2012-7-10 20401.3 70510.1 3.64998 0 0 0 0
2012-7-11 12411.3 20091.9 3.61908 0 0 0 0
2012-7-12 19210 52440.2 3.54603 0 0 0 0
2012-7-13 14456.6 18715.9 3.61497 0 0 0 0
2012-7-14 16177.5 52106.2 3.62588 0 0 0 0
2012-7-15 17816.9 45875.8 3.6606 0 0 0 0
2012-7-16 12754 25296.8 3.72378 0 0 0 0
2012-7-17 11728.3 26441.3 3.64955 0 0 0 0
2012-7-18 10734.8 35767 3.66754 0 0 0 0
2012-7-19 9931.16 33273.4 3.68124 0 0 0 0
2012-7-20 13521.7 45768.3 3.73842 0 0 0 0
2012-7-21 10940 34347.6 3.69616 0 0 0 0
2012-7-22 10617.8 38614.3 3.77836 0 0 0 0
2012-7-23 9789.43 38391.1 3.72814 0 0 0 0
2012-7-24 15095.3 50792.7 3.69317 0 0 0 0
2012-7-25 11869.5 31643 3.76098 0 0 0 0
2012-7-26 11060 39674.4 3.73564 0 0 0 0
2012-7-27 10218.5 38696.2 3.81401 0 0 0 0
2012-7-28 9654.11 38897.5 3.7014 0 0 0 0
2012-7-29 10475.2 43935.6 3.73382 0 0 0 0
2012-7-30 33935.8 155327 3.74316 0 0 0 0
2012-7-31 11880.8 35785.5 3.76817 0 0 0 0
2012-8-1 11244.8 35569.6 3.79082 0 0 0 0
