date value parameter land_use
2012-1-1 0 infil2 loc3
2012-1-1 0 infil loc3
2012-1-1 0 toDistribute loc3
2012-1-1 0 dailySurplus loc3
2012-1-1 90 availablePoreDepth loc3
2012-1-1 500 EHD loc3
2012-1-1 3780.78 SD loc3
2012-1-1 -4.28078 G loc3
2012-1-1 0.72 theta_EHD loc3
2012-1-1 360 sw_EHD loc3
2012-1-1 0.624782 theta_soil loc3
2012-1-1 0 dsc loc3
2012-1-1 0 infil2 loc2
2012-1-1 0 infil loc2
2012-1-1 0 toDistribute loc2
2012-1-1 0 dailySurplus loc2
2012-1-1 25 availablePoreDepth loc2
2012-1-1 250 EHD loc2
2012-1-1 3720.06 SD loc2
2012-1-1 -3.97006 G loc2
2012-1-1 0.4 theta_EHD loc2
2012-1-1 100 sw_EHD loc2
2012-1-1 0.346237 theta_soil loc2
2012-1-1 0 dsc loc2
2012-1-1 0 infil2 loc1
2012-1-1 0 infil loc1
2012-1-1 0 toDistribute loc1
2012-1-1 0 dailySurplus loc1
2012-1-1 12.0533 availablePoreDepth loc1
2012-1-1 133.333 EHD loc1
2012-1-1 4053.05 SD loc1
2012-1-1 -4.18638 G loc1
2012-1-1 0.3616 theta_EHD loc1
2012-1-1 48.2132 sw_EHD loc1
2012-1-1 0.316992 theta_soil loc1
2012-1-1 0 dsc loc1
2012-1-2 149.926 infil2 loc3
2012-1-2 607.333 Qd loc3
2012-1-2 14.9264 infil loc3
2012-1-2 0 toDistribute loc3
2012-1-2 14.9264 dailySurplus loc3
2012-1-2 90 availablePoreDepth loc3
2012-1-2 500 EHD loc3
2012-1-2 3782.92 SD loc3
2012-1-2 -3.67559 G loc3
2012-1-2 0.45 theta_EHD loc3
2012-1-2 225 sw_EHD loc3
2012-1-2 0.503515 theta_soil loc3
2012-1-2 0 dsc loc3
2012-1-2 0 infil2 loc2
2012-1-2 12.0423 infil loc2
2012-1-2 0 toDistribute loc2
2012-1-2 12.0423 dailySurplus loc2
2012-1-2 27.8841 availablePoreDepth loc2
2012-1-2 250 EHD loc2
2012-1-2 3788.83 SD loc2
2012-1-2 -4.03883 G loc2
2012-1-2 0.436633 theta_EHD loc2
2012-1-2 109.158 sw_EHD loc2
2012-1-2 0.339953 theta_soil loc2
2012-1-2 0 dsc loc2
2012-1-2 3.66306 infil2 loc1
2012-1-2 12.0533 infil loc1
2012-1-2 0 toDistribute loc1
2012-1-2 14.9264 dailySurplus loc1
2012-1-2 12.0533 availablePoreDepth loc1
2012-1-2 133.333 EHD loc1
2012-1-2 4015.15 SD loc1
2012-1-2 -4.14848 G loc1
2012-1-2 0.424527 theta_EHD loc1
2012-1-2 56.6035 sw_EHD loc1
2012-1-2 0.320896 theta_soil loc1
2012-1-2 2.87309 dsc loc1
2012-1-3 0 infil2 loc3
2012-1-3 151.908 Qd loc3
2012-1-3 0 infil loc3
2012-1-3 0 toDistribute loc3
2012-1-3 1.01936 dailySurplus loc3
2012-1-3 225 availablePoreDepth loc3
2012-1-3 500 EHD loc3
2012-1-3 3782.7 SD loc3
2012-1-3 -4.13079 G loc3
2012-1-3 0.45 theta_EHD loc3
2012-1-3 225 sw_EHD loc3
2012-1-3 0.463386 theta_soil loc3
2012-1-3 1.01936 dsc loc3
2012-1-3 0 infil2 loc2
2012-1-3 0 infil loc2
2012-1-3 0 toDistribute loc2
2012-1-3 0 dailySurplus loc2
2012-1-3 18.6481 availablePoreDepth loc2
2012-1-3 250 EHD loc2
2012-1-3 3869.38 SD loc2
2012-1-3 -4.11938 G loc2
2012-1-3 0.425408 theta_EHD loc2
2012-1-3 106.352 sw_EHD loc2
2012-1-3 0.332876 theta_soil loc2
2012-1-3 0 dsc loc2
2012-1-3 2.45058 infil2 loc1
2012-1-3 0 infil loc1
2012-1-3 0 toDistribute loc1
2012-1-3 1.01936 dailySurplus loc1
2012-1-3 3.66306 availablePoreDepth loc1
2012-1-3 133.333 EHD loc1
2012-1-3 3983.43 SD loc1
2012-1-3 -4.11676 G loc1
2012-1-3 0.406148 theta_EHD loc1
2012-1-3 54.1529 sw_EHD loc1
2012-1-3 0.324066 theta_soil loc1
2012-1-3 16.7855 dsc loc1
2012-1-4 18.5943 infil2 loc3
2012-1-4 52.1312 Qd loc3
2012-1-4 18.5943 infil loc3
2012-1-4 0 toDistribute loc3
2012-1-4 18.5943 dailySurplus loc3
2012-1-4 225 availablePoreDepth loc3
2012-1-4 500 EHD loc3
2012-1-4 3782.08 SD loc3
2012-1-4 -4.22995 G loc3
2012-1-4 0.45 theta_EHD loc3
2012-1-4 225 sw_EHD loc3
2012-1-4 0.454595 theta_soil loc3
2012-1-4 0 dsc loc3
2012-1-4 3.83338 infil2 loc2
2012-1-4 15.6758 infil loc2
2012-1-4 0 toDistribute loc2
2012-1-4 15.6758 dailySurplus loc2
2012-1-4 21.5665 availablePoreDepth loc2
2012-1-4 250 EHD loc2
2012-1-4 3938.61 SD loc2
2012-1-4 -4.18861 G loc2
2012-1-4 0.461104 theta_EHD loc2
2012-1-4 115.276 sw_EHD loc2
2012-1-4 0.327998 theta_soil loc2
2012-1-4 0 dsc loc2
2012-1-4 3.66306 infil2 loc1
2012-1-4 6.11364 infil loc1
2012-1-4 0 toDistribute loc1
2012-1-4 18.5943 dailySurplus loc1
2012-1-4 6.11364 availablePoreDepth loc1
2012-1-4 133.333 EHD loc1
2012-1-4 3951.49 SD loc1
2012-1-4 -4.08482 G loc1
2012-1-4 0.424527 theta_EHD loc1
2012-1-4 56.6035 sw_EHD loc1
2012-1-4 0.327613 theta_soil loc1
2012-1-4 12.922 dsc loc1
2012-1-5 0 infil2 loc3
2012-1-5 13.0868 Qd loc3
2012-1-5 0 infil loc3
2012-1-5 0 toDistribute loc3
2012-1-5 0 dailySurplus loc3
2012-1-5 225 availablePoreDepth loc3
2012-1-5 500 EHD loc3
2012-1-5 3781.92 SD loc3
2012-1-5 -4.26884 G loc3
2012-1-5 0.45 theta_EHD loc3
2012-1-5 225 sw_EHD loc3
2012-1-5 0.451153 theta_soil loc3
2012-1-5 0 dsc loc3
2012-1-5 0 infil2 loc2
2012-1-5 0 infil loc2
2012-1-5 0 toDistribute loc2
2012-1-5 0 dailySurplus loc2
2012-1-5 12.5245 availablePoreDepth loc2
2012-1-5 250 EHD loc2
2012-1-5 4000.12 SD loc2
2012-1-5 -4.25012 G loc2
2012-1-5 0.449902 theta_EHD loc2
2012-1-5 112.476 sw_EHD loc2
2012-1-5 0.322955 theta_soil loc2
