date Q_m3d source
2012-1-1 0 drain
2012-1-1 0 overland
2012-1-1 1.21795 stream
2012-1-1 0 lake
2012-1-2 31033.6 drain
2012-1-2 7302.11 overland
2012-1-2 0.960747 stream
2012-1-2 0 lake
2012-1-3 17181.8 drain
2012-1-3 90684.8 overland
2012-1-3 0.962219 stream
2012-1-3 0 lake
2012-1-4 25018.4 drain
2012-1-4 33182.3 overland
2012-1-4 1.02105 stream
2012-1-4 0 lake
2012-1-5 12292.7 drain
2012-1-5 45209.2 overland
2012-1-5 1.03667 stream
2012-1-5 0 lake
2012-1-6 7762.43 drain
2012-1-6 44346.2 overland
2012-1-6 1.0662 stream
2012-1-6 0 lake
2012-1-7 11055 drain
2012-1-7 45140.6 overland
2012-1-7 1.13479 stream
2012-1-7 0 lake
2012-1-8 7549.53 drain
2012-1-8 44562.4 overland
2012-1-8 1.17347 stream
2012-1-8 0 lake
2012-1-9 7442.15 drain
2012-1-9 44017 overland
2012-1-9 1.22445 stream
2012-1-9 0 lake
2012-1-10 7340.32 drain
2012-1-10 43460.7 overland
2012-1-10 1.29785 stream
2012-1-10 0 lake
2012-1-11 10959.7 drain
2012-1-11 42908.4 overland
2012-1-11 1.34025 stream
2012-1-11 0 lake
2012-1-12 10907.3 drain
2012-1-12 12.9183 overland
2012-1-12 1.38626 stream
2012-1-12 0 lake
2012-1-13 11099.5 drain
2012-1-13 25985.7 overland
2012-1-13 1.43908 stream
2012-1-13 0 lake
2012-1-14 11080.1 drain
2012-1-14 15803.6 overland
2012-1-14 1.48674 stream
2012-1-14 0 lake
2012-1-15 9321.9 drain
2012-1-15 116622 overland
2012-1-15 1.55633 stream
2012-1-15 0 lake
2012-1-16 6834.14 drain
2012-1-16 39706 overland
2012-1-16 1.6378 stream
2012-1-16 0 lake
2012-1-17 6774.5 drain
2012-1-17 39862.3 overland
2012-1-17 1.67846 stream
2012-1-17 0 lake
2012-1-18 6716.72 drain
2012-1-18 39478.5 overland
2012-1-18 1.70792 stream
2012-1-18 0 lake
2012-1-19 6660.58 drain
2012-1-19 39074.3 overland
2012-1-19 1.76326 stream
2012-1-19 0 lake
2012-1-20 6602.55 drain
2012-1-20 38666.4 overland
2012-1-20 1.79897 stream
2012-1-20 0 lake
2012-1-21 6544.17 drain
2012-1-21 38249.2 overland
2012-1-21 1.87051 stream
2012-1-21 0 lake
2012-1-22 6484.32 drain
2012-1-22 37848.8 overland
2012-1-22 1.89808 stream
2012-1-22 0 lake
2012-1-23 6425.5 drain
2012-1-23 37475.6 overland
2012-1-23 1.91685 stream
2012-1-23 0 lake
2012-1-24 6367.71 drain
2012-1-24 37132.4 overland
2012-1-24 1.9434 stream
2012-1-24 0 lake
2012-1-25 6314.52 drain
2012-1-25 36794.9 overland
2012-1-25 1.96419 stream
2012-1-25 0 lake
2012-1-26 6265.45 drain
2012-1-26 36466.3 overland
2012-1-26 1.97564 stream
2012-1-26 0 lake
2012-1-27 6218.13 drain
2012-1-27 36151.7 overland
2012-1-27 1.98768 stream
2012-1-27 0 lake
2012-1-28 18118.1 drain
2012-1-28 35841.4 overland
2012-1-28 2.0017 stream
2012-1-28 0 lake
2012-1-29 6126.35 drain
2012-1-29 35534 overland
2012-1-29 2.06094 stream
2012-1-29 0 lake
2012-1-30 6081.01 drain
2012-1-30 35243.1 overland
2012-1-30 2.01603 stream
2012-1-30 0 lake
