date	q_ls
01.01.2012	54.8
02.01.2012	192
03.01.2012	165
04.01.2012	544
05.01.2012	116
06.01.2012	65.7
07.01.2012	53.5
08.01.2012	42.3
09.01.2012	36
10.01.2012	31.9
11.01.2012	32.9
12.01.2012	35.8
13.01.2012	26
14.01.2012	21.9
15.01.2012	20.3
16.01.2012	18.1
17.01.2012	15.8
18.01.2012	17.5
19.01.2012	17.4
20.01.2012	13.2
21.01.2012	12.3
22.01.2012	13.6
23.01.2012	12.6
24.01.2012	11.9
25.01.2012	11.6
26.01.2012	11.5
27.01.2012	11.4
28.01.2012	11
29.01.2012	10.6
30.01.2012	10.3
31.01.2012	10
01.02.2012	9.3
02.02.2012	8.9
03.02.2012	7.2
04.02.2012	6.2
05.02.2012	7.5
06.02.2012	7.5
07.02.2012	7.2
08.02.2012	7.4
09.02.2012	7.2
10.02.2012	6.9
11.02.2012	7.2
12.02.2012	6.8
13.02.2012	6.8
14.02.2012	6.8
15.02.2012	6.4
16.02.2012	6.4
17.02.2012	6.2
18.02.2012	22.5
19.02.2012	50.3
20.02.2012	11.8
21.02.2012	13.4
22.02.2012	146
23.02.2012	115
24.02.2012	79
25.02.2012	47.5
26.02.2012	22.6
27.02.2012	28.1
28.02.2012	110
01.03.2012	84.3
02.03.2012	48.5
03.03.2012	30.6
04.03.2012	22.1
05.03.2012	18.4
06.03.2012	15.8
07.03.2012	16.4
08.03.2012	14.9
09.03.2012	86.7
10.03.2012	267
11.03.2012	110
12.03.2012	143
13.03.2012	170
14.03.2012	112
15.03.2012	96.8
16.03.2012	111
17.03.2012	135
18.03.2012	116
19.03.2012	69.4
20.03.2012	65.5
21.03.2012	74.1
22.03.2012	69.7
23.03.2012	57.7
24.03.2012	47.2
25.03.2012	39.5
26.03.2012	36
27.03.2012	33.6
28.03.2012	31.1
29.03.2012	24.1
30.03.2012	20.6
31.03.2012	16.6
01.04.2012	15.5
02.04.2012	13
03.04.2012	11.1
04.04.2012	10.1
05.04.2012	10.3
06.04.2012	11.1
07.04.2012	9.2
08.04.2012	8.8
09.04.2012	18
10.04.2012	325
11.04.2012	165
12.04.2012	82.4
13.04.2012	53.6
14.04.2012	39.1
15.04.2012	39.8
16.04.2012	57.5
17.04.2012	58.6
18.04.2012	44.8
19.04.2012	97.4
20.04.2012	67.7
21.04.2012	49.2
22.04.2012	39.3
23.04.2012	181
24.04.2012	85.5
25.04.2012	59.9
26.04.2012	260
27.04.2012	195
28.04.2012	93.2
29.04.2012	56.1
30.04.2012	40.4
01.05.2012	30.9
02.05.2012	25.8
03.05.2012	21.6
04.05.2012	21
05.05.2012	72.4
06.05.2012	46
07.05.2012	29.4
08.05.2012	23.8
09.05.2012	170
10.05.2012	197
11.05.2012	224
12.05.2012	161
13.05.2012	74.9
14.05.2012	49.3
15.05.2012	35.9
16.05.2012	31.1
17.05.2012	36.4
18.05.2012	27
19.05.2012	21.8
20.05.2012	41.3
21.05.2012	26.1
22.05.2012	18.2
23.05.2012	14.2
24.05.2012	12.1
25.05.2012	10.5
26.05.2012	9
27.05.2012	8
28.05.2012	7.4
29.05.2012	5.8
30.05.2012	5.2
31.05.2012	5.4
01.06.2012	8.2
02.06.2012	4.6
03.06.2012	4.5
04.06.2012	4.3
05.06.2012	3.7
06.06.2012	3.1
07.06.2012	2.8
08.06.2012	2.6
09.06.2012	2.9
10.06.2012	3.1
11.06.2012	2.9
12.06.2012	2.3
13.06.2012	2
14.06.2012	1.9
15.06.2012	2
16.06.2012	8.8
17.06.2012	24.5
18.06.2012	8
19.06.2012	5.6
20.06.2012	3.2
21.06.2012	2.4
22.06.2012	1.9
23.06.2012	9.4
24.06.2012	7.5
25.06.2012	11.5
26.06.2012	9.1
27.06.2012	4
28.06.2012	2.6
29.06.2012	101
30.06.2012	48.1
01.07.2012	41.9
02.07.2012	46.2
03.07.2012	17.3
04.07.2012	10.1
05.07.2012	6.8
06.07.2012	4.9
07.07.2012	12.9
08.07.2012	10.3
09.07.2012	54
10.07.2012	30.3
11.07.2012	38.7
12.07.2012	49.5
13.07.2012	97.3
14.07.2012	61.4
15.07.2012	22
16.07.2012	12.5
17.07.2012	8.3
18.07.2012	7.6
19.07.2012	8.3
20.07.2012	6.8
21.07.2012	4.7
22.07.2012	3.9
23.07.2012	14.1
24.07.2012	9.4
25.07.2012	6.6
26.07.2012	4.6
27.07.2012	3.4
28.07.2012	586
29.07.2012	224
30.07.2012	53.1
31.07.2012	27.2
01.08.2012	16.4
02.08.2012	59.8
03.08.2012	171
04.08.2012	50.2
05.08.2012	24
06.08.2012	22.1
07.08.2012	175
08.08.2012	71.9
09.08.2012	30.8
10.08.2012	23.3
11.08.2012	15.9
12.08.2012	12.2
13.08.2012	10.5
14.08.2012	9
15.08.2012	7
16.08.2012	5.8
17.08.2012	5
18.08.2012	15.8
19.08.2012	14
20.08.2012	10
21.08.2012	9
22.08.2012	7.8
23.08.2012	7.8
24.08.2012	6.2
25.08.2012	9.3
26.08.2012	87
27.08.2012	28.1
28.08.2012	20.3
29.08.2012	22.6
30.08.2012	15.7
31.08.2012	11.7
01.09.2012	9.6
02.09.2012	10
03.09.2012	7.7
04.09.2012	9
05.09.2012	7.5
06.09.2012	5.4
07.09.2012	6.6
08.09.2012	5
09.09.2012	4.4
10.09.2012	4.7
11.09.2012	5.3
12.09.2012	4.5
13.09.2012	4.2
14.09.2012	59
15.09.2012	21.2
16.09.2012	12.3
17.09.2012	114
18.09.2012	148
19.09.2012	178
20.09.2012	60.3
21.09.2012	33
22.09.2012	22
23.09.2012	20.3
24.09.2012	17.7
25.09.2012	23
26.09.2012	617
27.09.2012	355
28.09.2012	95.2
29.09.2012	341
30.09.2012	94.7
01.10.2012	98.5
02.10.2012	82.2
03.10.2012	478
04.10.2012	348
05.10.2012	116
06.10.2012	69.9
07.10.2012	51
08.10.2012	40.3
09.10.2012	372
10.10.2012	96.9
11.10.2012	60.2
12.10.2012	46.2
13.10.2012	39
14.10.2012	51.4
15.10.2012	98.2
16.10.2012	163
17.10.2012	813
18.10.2012	560
19.10.2012	331
20.10.2012	789
21.10.2012	292
22.10.2012	129
23.10.2012	91.2
24.10.2012	75.1
25.10.2012	66.7
26.10.2012	53.9
27.10.2012	44.5
28.10.2012	38.6
29.10.2012	522
30.10.2012	171
31.10.2012	307
01.11.2012	738
02.11.2012	914
03.11.2012	413
04.11.2012	349
05.11.2012	150
06.11.2012	103
07.11.2012	79.4
08.11.2012	65.7
09.11.2012	67.8
10.11.2012	355
11.11.2012	376
12.11.2012	175
13.11.2012	98.9
14.11.2012	96.8
15.11.2012	110
16.11.2012	80.7
17.11.2012	173
18.11.2012	736
19.11.2012	198
20.11.2012	222
21.11.2012	403
22.11.2012	272
23.11.2012	204
24.11.2012	169
25.11.2012	112
26.11.2012	88.5
27.11.2012	129
28.11.2012	142
29.11.2012	88.5
