date rr tm swe accumulation melt
2012-1-1 0 -3.57 0 5.05 0
2012-1-2 12.71 1.55 5.05 0 2.21639
2012-1-3 0 0.89 2.83361 0.1 1.01936
2012-1-4 16.68 1.84 1.91425 0 1.91425
2012-1-5 0 0.84 0 0 0
2012-1-6 0 -3.14 0 0 0
2012-1-7 0 -1.75 0 0.32 0
2012-1-8 0 -2.05 0.32 1.8 0
2012-1-9 0 -6.71 2.12 0 0
2012-1-10 0 -5.68 2.12 7.05 0
2012-1-11 0 -1.72 9.17 0 0
2012-1-12 0 1.18 9.17 0.02 1.51292
2012-1-13 0 1.73 7.67708 0 2.58491
2012-1-14 0 1.88 5.09217 0 2.90404
2012-1-15 0 -1.85 2.18813 0 0
2012-1-16 0 -3.45 2.18813 0 0
2012-1-17 0 -4.48 2.18813 0.02 0
2012-1-18 0 -4.48 2.20813 0.09 0
2012-1-19 0 -2.12 2.29813 7.11 0
2012-1-20 0 -4.93 9.40813 0 0
2012-1-21 0 -8.91 9.40813 0.38 0
2012-1-22 0 -3.26 9.78813 7.73 0
2012-1-23 0 -2.97 17.5181 0.02 0
2012-1-24 0 -5.5 17.5381 0.01 0
2012-1-25 0 -4.73 17.5481 0.08 0
2012-1-26 0 -5.67 17.6281 0.02 0
2012-1-27 0 -2.38 17.6481 0 0
2012-1-28 0 -1.71 17.6481 0.17 0
2012-1-29 0 -3.81 17.8181 0.01 0
2012-1-30 0 -3.93 17.8281 0 0
2012-1-31 0 -5.12 17.8281 0 0
2012-2-1 0 -7.3 17.8281 0 0
2012-2-2 0 -8.7 17.8281 0.08 0
2012-2-3 0 -10.54 17.9081 0 0
2012-2-4 0 -14.1 17.9081 0 0
2012-2-5 0 -12.8 17.9081 4.27 0
2012-2-6 0 -5.36 22.1781 1.34 0
2012-2-7 0 -3.74 23.5181 0.36 0
2012-2-8 0 -4.29 23.8781 0 0
2012-2-9 0 -5.47 23.8781 0 0
2012-2-10 0 -7.94 23.8781 0 0
2012-2-11 0 -6.42 23.8781 0 0
2012-2-12 0 -7.53 23.8781 0 0
2012-2-13 0 -6.72 23.8781 0 0
2012-2-14 0 -6.06 23.8781 0 0
2012-2-15 0 -2.61 23.8781 0.07 0
2012-2-16 0 0.69 23.9481 0 0.713789
2012-2-17 0 -1.06 23.2343 0.32 0
2012-2-18 0 -0.92 23.5543 0.23 0
2012-2-19 1.24 1.58 23.7843 0 2.27668
2012-2-20 0 -0.58 21.5077 0 0
2012-2-21 0 0.19 21.5077 0 0.117337
2012-2-22 0.16 1.55 21.3903 0 2.21639
2012-2-23 0.01 3.64 19.1739 0 7.32358
2012-2-24 0.01 4.03 11.8504 0 8.44517
2012-2-25 0 4.79 3.4052 0 3.4052
2012-2-26 0.02 2.28 0 0 0
2012-2-27 0 -0.44 0 0.02 0
2012-2-28 0 1.46 0.02 2.24 0.02
2012-3-1 0 3.13 2.24 0 2.24
2012-3-2 0.02 3.28 0 0 0
2012-3-3 0.04 5.06 0 0 0
2012-3-4 0 1.4 0 0 0
2012-3-5 0 0 0 0 0
2012-3-6 0 -0.55 0 0 0
2012-3-7 0 -0.83 0 0 0
2012-3-8 0 -0.06 0 0.02 0
2012-3-9 0 -0.33 0.02 14.68 0
2012-3-10 0 0.43 14.7 0.49 0.36816
2012-3-11 0 3.18 14.8218 0 6.06149
2012-3-12 0.02 3.54 8.76035 0 7.04346
2012-3-13 0 7.18 1.7169 0 1.7169
2012-3-14 0 9.56 0 0 0
2012-3-15 0 8.67 0 0 0
2012-3-16 0 3.68 0 0 0
2012-3-17 0 2.85 0 0 0
2012-3-18 0 4.06 0 0 0
2012-3-19 0.01 3.55 0 0 0
2012-3-20 0.37 3.09 0 0 0
2012-3-21 0 3.96 0 0 0
2012-3-22 0 8.35 0 0 0
2012-3-23 0 8.8 0 0 0
2012-3-24 0 8.5 0 0 0
2012-3-25 0 7.19 0 0 0
2012-3-26 0.02 7.42 0 0 0
2012-3-27 0 8.11 0 0 0
2012-3-28 0 10.26 0 0 0
2012-3-29 0.02 13.17 0 0 0
2012-3-30 0 8.6 0 0 0
2012-3-31 0 6.69 0 0 0
2012-4-1 0 5.39 0 0 0
2012-4-2 0 2.76 0 0 0
2012-4-3 0 2.61 0 0 0
2012-4-4 0 0.62 0 0 0
2012-4-5 0 0.05 0 0 0
2012-4-6 0 1.5 0 0 0
2012-4-7 0 4.08 0 0 0
2012-4-8 0 1.25 0 0.19 0
2012-4-9 0 0.2 0.19 0.02 0.126073
2012-4-10 0.11 2.1 0.0839266 0 0.0839266
2012-4-11 19.76 2.48 0 0 0
2012-4-12 12.75 5.33 0 0 0
2012-4-13 0.72 4.94 0 0 0
2012-4-14 0.01 4.52 0 0 0
2012-4-15 0 5.62 0 0 0
2012-4-16 1.08 5.69 0 0 0
2012-4-17 2.48 3.47 0 0 0
2012-4-18 1.13 2.48 0 0 0
2012-4-19 0.01 2.8 0 0 0
2012-4-20 4.64 3.46 0 0 0
2012-4-21 1.04 7.2 0 0 0
2012-4-22 0.55 4.22 0 0 0
2012-4-23 2.86 4.78 0 0 0
2012-4-24 10.17 5.45 0 0 0
2012-4-25 0.5 5.21 0 0 0
2012-4-26 1.55 6.47 0 0 0
2012-4-27 7.85 8.86 0 0 0
2012-4-28 11.97 7.79 0 0 0
2012-4-29 0.05 7.3 0 0 0
2012-4-30 0 7.56 0 0 0
2012-5-1 0 9.55 0 0 0
2012-5-2 0.01 6.92 0 0 0
2012-5-3 0 10.98 0 0 0
2012-5-4 0 13.43 0 0 0
2012-5-5 1.12 10.98 0 0 0
2012-5-6 6.32 5.87 0 0 0
2012-5-7 1.07 4.49 0 0 0
2012-5-8 0 5.05 0 0 0
2012-5-9 0 7.22 0 0 0
2012-5-10 17.99 8.79 0 0 0
2012-5-11 5.61 10.13 0 0 0
2012-5-12 6.6 8.1 0 0 0
2012-5-13 1.2 8.29 0 0 0
2012-5-14 0 8.55 0 0 0
2012-5-15 0.06 8.67 0 0 0
2012-5-16 0 8.74 0 0 0
2012-5-17 1.92 9.82 0 0 0
2012-5-18 3.55 10.21 0 0 0
2012-5-19 0.45 8.56 0 0 0
2012-5-20 0 10.29 0 0 0
2012-5-21 7.82 10.92 0 0 0
2012-5-22 0 13.25 0 0 0
2012-5-23 0 16.48 0 0 0
2012-5-24 0 18.86 0 0 0
2012-5-25 0 19.5 0 0 0
2012-5-26 0 20.72 0 0 0
2012-5-27 0 22.91 0 0 0
2012-5-28 0 19.31 0 0 0
2012-5-29 0 19.1 0 0 0
2012-5-30 0 12.68 0 0 0
2012-5-31 0 10.83 0 0 0
2012-6-1 0 12.04 0 0 0
2012-6-2 4.57 10.56 0 0 0
2012-6-3 0 8.79 0 0 0
2012-6-4 0 10.1 0 0 0
2012-6-5 1.48 9.5 0 0 0
2012-6-6 0 10.01 0 0 0
2012-6-7 0.38 10.5 0 0 0
2012-6-8 0.03 12.13 0 0 0
2012-6-9 0 13.04 0 0 0
2012-6-10 0.92 15.26 0 0 0
2012-6-11 0 12.98 0 0 0
2012-6-12 1.15 13.11 0 0 0
2012-6-13 0 14.78 0 0 0
2012-6-14 0 12.66 0 0 0
2012-6-15 0 12.22 0 0 0
2012-6-16 0.64 11.85 0 0 0
2012-6-17 10.53 11.5 0 0 0
2012-6-18 20.74 13.23 0 0 0
2012-6-19 0.26 14.31 0 0 0
2012-6-20 1.68 12.35 0 0 0
2012-6-21 0.03 14.13 0 0 0
2012-6-22 0 14.43 0 0 0
2012-6-23 0 17.03 0 0 0
2012-6-24 2.94 17.06 0 0 0
2012-6-25 7.91 13.48 0 0 0
2012-6-26 5.03 12.74 0 0 0
2012-6-27 2.72 13.92 0 0 0
2012-6-28 0.39 16.22 0 0 0
2012-6-29 0 14.93 0 0 0
2012-6-30 0.15 14.78 0 0 0
2012-7-1 29.63 13.84 0 0 0
2012-7-2 0.34 15.2 0 0 0
2012-7-3 9.32 13.57 0 0 0
2012-7-4 0.56 14.91 0 0 0
2012-7-5 0 16.24 0 0 0
2012-7-6 0.02 18.19 0 0 0
2012-7-7 0 19.87 0 0 0
2012-7-8 7.92 19.09 0 0 0
2012-7-9 3.71 16.87 0 0 0
2012-7-10 13.29 17.33 0 0 0
2012-7-11 0.11 16.55 0 0 0
2012-7-12 10.56 16.68 0 0 0
2012-7-13 2.42 14.65 0 0 0
2012-7-14 5.16 14.04 0 0 0
2012-7-15 7.39 14.43 0 0 0
2012-7-16 0.04 15.66 0 0 0
2012-7-17 0 14.54 0 0 0
2012-7-18 0.04 14.71 0 0 0
2012-7-19 0.06 15.75 0 0 0
2012-7-20 5.17 14.21 0 0 0
2012-7-21 0.69 13.94 0 0 0
2012-7-22 0.6 12.65 0 0 0
2012-7-23 0.05 14.01 0 0 0
2012-7-24 7.33 14.57 0 0 0
2012-7-25 1.33 15.95 0 0 0
2012-7-26 0.42 18.09 0 0 0
2012-7-27 0 17.59 0 0 0
2012-7-28 0.04 18.14 0 0 0
2012-7-29 1.66 17.05 0 0 0
2012-7-30 38.01 15.78 0 0 0
2012-7-31 0.03 14.94 0 0 0
2012-8-1 0 15.24 0 0 0
2012-8-2 2.05 13.77 0 0 0
2012-8-3 0.37 16.13 0 0 0
2012-8-4 23.62 16.2 0 0 0
2012-8-5 0 16.34 0 0 0
2012-8-6 0 16.94 0 0 0
2012-8-7 0.01 16.19 0 0 0
2012-8-8 11.25 15.13 0 0 0
2012-8-9 0.33 15.07 0 0 0
2012-8-10 0.04 13.78 0 0 0
2012-8-11 5.64 15.37 0 0 0
2012-8-12 0.15 14.91 0 0 0
2012-8-13 0 16.25 0 0 0
2012-8-14 0.02 15.81 0 0 0
2012-8-15 0.68 17.1 0 0 0
2012-8-16 0.03 15.56 0 0 0
2012-8-17 0 16.98 0 0 0
2012-8-18 0.25 17.33 0 0 0
2012-8-19 5.79 17.62 0 0 0
2012-8-20 3.55 17.21 0 0 0
2012-8-21 0 19.96 0 0 0
2012-8-22 1.5 16.62 0 0 0
2012-8-23 0.01 18.46 0 0 0
2012-8-24 2.34 14.46 0 0 0
2012-8-25 0.01 14.85 0 0 0
2012-8-26 6.99 13.82 0 0 0
2012-8-27 9.1 14.61 0 0 0
2012-8-28 1.67 12.55 0 0 0
2012-8-29 0 12.51 0 0 0
2012-8-30 5.25 13.91 0 0 0
2012-8-31 0.8 14.73 0 0 0
2012-9-1 0 14.59 0 0 0
2012-9-2 0.05 13.63 0 0 0
2012-9-3 2.27 15.35 0 0 0
2012-9-4 0.02 14.49 0 0 0
2012-9-5 0.16 16.9 0 0 0
2012-9-6 1.06 15.5 0 0 0
2012-9-7 0.04 12.26 0 0 0
2012-9-8 1.39 9.07 0 0 0
2012-9-9 0 12.47 0 0 0
2012-9-10 0 10.37 0 0 0
2012-9-11 0.01 14.01 0 0 0
2012-9-12 0.12 15.48 0 0 0
2012-9-13 1.2 11.91 0 0 0
2012-9-14 0.51 8.34 0 0 0
2012-9-15 10.13 11.73 0 0 0
2012-9-16 3.34 12.24 0 0 0
2012-9-17 0 13.16 0 0 0
2012-9-18 6.31 13.4 0 0 0
2012-9-19 12.98 12.16 0 0 0
2012-9-20 11.48 10.1 0 0 0
2012-9-21 0.16 8.78 0 0 0
2012-9-22 0.01 6.61 0 0 0
2012-9-23 0 7.3 0 0 0
2012-9-24 2.79 7.78 0 0 0
2012-9-25 0.11 6.39 0 0 0
2012-9-26 0.02 8.27 0 0 0
2012-9-27 25.47 7.76 0 0 0
2012-9-28 13.2 8.94 0 0 0
2012-9-29 0.06 8.56 0 0 0
2012-9-30 16.15 10.64 0 0 0
2012-10-1 0 8.25 0 0 0
2012-10-2 4.02 11.1 0 0 0
2012-10-3 0.43 11.88 0 0 0
2012-10-4 1.09 11.19 0 0 0
2012-10-5 20.42 9.68 0 0 0
2012-10-6 0.48 6.92 0 0 0
2012-10-7 0 4.54 0 0 0
2012-10-8 0.02 5.95 0 0 0
2012-10-9 0.05 9.45 0 0 0
2012-10-10 15.6 6.88 0 0 0
2012-10-11 0 4.41 0 0 0
2012-10-12 0.02 3.73 0 0 0
2012-10-13 0.26 3.15 0 0 0
2012-10-14 0 4.48 0 0 0
2012-10-15 0.13 4.34 0 0 0
2012-10-16 7.39 4.36 0 0 0
2012-10-17 2.78 4.9 0 0 0
2012-10-18 22.7 6.19 0 0 0
2012-10-19 5.23 8.34 0 0 0
2012-10-20 12.08 9.81 0 0 0
2012-10-21 0.36 7.9 0 0 0
2012-10-22 23.58 6.64 0 0 0
2012-10-23 0.02 4.94 0 0 0
2012-10-24 0.02 3.91 0 0 0
2012-10-25 0 2 0 0 0
2012-10-26 1.23 2.18 0 0 0
2012-10-27 0 1.49 0 0.09 0
2012-10-28 0 2.42 0.09 0 0.09
2012-10-29 0 -0.37 0 0 0
2012-10-30 0 0.29 0 17.89 0
2012-10-31 0 0.22 17.89 7.71 0.14407
2012-11-1 0 -1.71 25.4559 1.82 0
2012-11-2 22.09 3.88 27.2759 0 8.0084
2012-11-3 16.8 5.42 19.2675 0 12.7873
2012-11-4 8.94 5.32 6.48019 0 6.48019
2012-11-5 8.43 4.29 0 0 0
2012-11-6 0.42 3.67 0 0 0
2012-11-7 0 0.58 0 0 0
2012-11-8 0 -1.06 0 0.89 0
2012-11-9 0 -0.39 0.89 0.09 0
2012-11-10 0 0.79 0.98 0.1 0.862699
2012-11-11 11.34 4.18 0.217301 0 0.217301
2012-11-12 9.57 7.05 0 0 0
